time,lat,lon,log,battery,u,v,wptLat,wptLon
Thu Jan  2 16:41:43 2020 MT,55.5433,-47.65183333333332,0267.0113,90.9828039341354,-0.0160394107960791,-0.00487282579537468,55.81006666666667,-47.61295
Fri Jan  3 01:52:17 2020 MT,55.6174,-47.60229999999999,0267.0114,90.8827142705844,0.0303600041615264,-0.0485019946882753,55.81006666666667,-47.61295
Fri Jan  3 11:06:00 2020 MT,55.68633333333333,-47.60893333333334,0267.0115,90.7827386846469,0.00647610462501688,-0.0590854869829722,55.81006666666667,-47.61295
Fri Jan  3 20:25:12 2020 MT,55.75875,-47.61061666666666,0267.0116,90.6825356700915,-0.013563646896491,-0.040820495953382,55.81006666666667,-47.61295
Sat Jan  4 05:55:46 2020 MT,55.83811666666667,-47.64575,0267.0117,90.5798454729189,0.00260595940371768,-0.00592933463298657,55.86403333333333,-47.69191666666667
Sat Jan  4 15:05:37 2020 MT,55.920633333333335,-47.63866666666666,0267.0118,90.4793038585681,0.013228548052067,-0.000268830276584422,56.13383333333332,-47.60568333333334
Sun Jan  5 00:31:56 2020 MT,56.01453333333334,-47.62538333333334,0267.0120,90.3444946370279,0.0194045119754039,0.0209562888932938,56.13383333333332,-47.60568333333334
Sun Jan  5 09:42:43 2020 MT,56.11063333333334,-47.640633333333334,0267.0121,90.2199763787969,-0.0357335332597802,0.048545048717528,56.187783333333336,-47.68523333333333
Sun Jan  5 19:22:59 2020 MT,56.10046666666668,-47.84403333333333,0267.0123,90.0786073311778,-0.093604975859412,0.0206884242301581,56.133816666666675,-48.3271
Mon Jan  6 04:53:13 2020 MT,56.099,-48.05456666666667,0267.0124,89.9505831845074,-0.122323653224596,-0.0215058850059751,56.133816666666675,-48.3271
Mon Jan  6 13:54:30 2020 MT,56.11550000000001,-48.2434,0267.0125,89.8261790038899,-0.133873443879073,-0.0631890677825672,56.133816666666675,-48.3271
Mon Jan  6 23:15:25 2020 MT,56.111799999999995,-48.422200000000004,0267.0126,89.6975895554152,-0.142347676192631,-0.134270785200045,56.133816666666675,-51.75865
Tue Jan  7 08:25:52 2020 MT,56.107483333333334,-48.58456666666666,0267.0127,89.5722800199799,-0.156256636448969,-0.173812643757498,56.133816666666675,-51.75865
Tue Jan  7 08:30:13 2020 MT,56.107483333333334,-48.58456666666666,0267.0128,89.5697921107537,-0.156256636448969,-0.173812643757498,56.133816666666675,-51.75865
Tue Jan  7 17:37:48 2020 MT,56.09935,-48.714033333333326,0267.0130,89.4432386207054,-0.135832356669846,-0.217949610192275,56.133816666666675,-51.75865
Wed Jan  8 03:10:37 2020 MT,56.08513333333333,-48.79456666666667,0267.0132,89.3098986025692,-0.0548555833341376,-0.264413794859587,56.133816666666675,-51.75865
Wed Jan  8 12:46:38 2020 MT,56.08015,-48.940333333333335,0267.0134,89.1707914887764,-0.133403528821145,-0.183012914213166,56.133816666666675,-51.75865
Wed Jan  8 22:05:03 2020 MT,56.14316666666667,-49.08946666666668,0267.0135,89.0440120233281,-0.086727391063335,0.015935353200527,56.133816666666675,-51.75865
Wed Jan  8 22:09:33 2020 MT,56.14316666666667,-49.08946666666668,0267.0136,89.0414107630975,-0.086727391063335,0.015935353200527,56.133816666666675,-51.75865
Thu Jan  9 07:10:02 2020 MT,56.229883333333326,-49.219950000000004,0267.0138,88.9133866164271,0.158683288252867,0.23692803076185,56.133816666666675,-51.75865
Thu Jan  9 16:16:02 2020 MT,56.272333333333336,-49.268049999999995,0267.0140,88.7746195556477,0.254685225891334,0.195738862814773,56.133816666666675,-51.75865
Fri Jan 10 01:51:55 2020 MT,56.280249999999995,-49.32688333333334,0267.0142,88.636756396468,0.180242731208989,0.108014178746674,56.133816666666675,-51.75865
Fri Jan 10 11:09:21 2020 MT,56.2867,-49.397133333333336,0267.0143,88.5100895554152,0.171199137952676,0.060630885152338,56.133816666666675,-51.75865
Fri Jan 10 20:34:48 2020 MT,56.2866,-49.39501666666666,0267.0144,88.3804821277273,0.167828782621017,0.0624671721974256,56.133816666666675,-51.75865
Sat Jan 11 05:43:23 2020 MT,56.296533333333336,-49.49608333333334,0267.0145,88.2549466168921,0.209570205413911,0.0348551483866002,56.133816666666675,-51.75865
Sat Jan 11 14:53:39 2020 MT,56.31145,-49.588833333333326,0267.0146,88.1299764078612,0.14478976258516,0.0837029003831001,56.133816666666675,-51.75865
Sun Jan 12 00:16:35 2020 MT,56.31486666666666,-49.69035000000001,0267.0147,88.0017262857909,0.108455629869835,0.0826023399803956,56.133816666666675,-51.75865
Sun Jan 12 09:37:09 2020 MT,56.30745000000001,-49.82296666666666,0267.0148,87.8749460937336,0.041444510985427,0.067556528034493,56.133816666666675,-51.75865
Sun Jan 12 19:08:31 2020 MT,56.283350000000006,-49.96688333333333,0267.0149,87.7468093226678,0.00245347770783167,0.0138083716207324,56.133816666666675,-51.75865
Mon Jan 13 03:36:49 2020 MT,56.277766666666665,-50.10211666666668,0267.0150,87.6227437418456,0.00936924220872578,-0.00955319355861252,56.133816666666675,-51.75865
Mon Jan 13 08:30:30 2020 MT,56.273483333333324,-50.164816666666674,0267.0152,87.5516065406272,0.0356233828921682,-0.0106970169339463,56.133816666666675,-51.75865
Mon Jan 13 17:53:54 2020 MT,56.257799999999996,-50.289966666666665,0267.0153,87.4238098225748,0.0342712126756191,-0.0449425249394544,56.133816666666675,-51.75865
Tue Jan 14 11:35:15 2020 MT,56.24218333333334,-50.49933333333333,0267.0155,87.1761313383393,0.0849642399512193,-0.0712421591539324,56.133816666666675,-51.75865
Tue Jan 14 20:57:29 2020 MT,56.22845,-50.57213333333335,0267.0156,87.0495778482909,0.117502513502787,-0.109186096876885,56.133816666666675,-51.75865
Wed Jan 15 06:24:02 2020 MT,56.23011666666667,-50.63545,0267.0157,86.923137709247,0.15369131040099,-0.0712614578736058,56.133816666666675,-51.75865
Wed Jan 15 15:39:25 2020 MT,56.23018333333333,-50.71496666666667,0267.0158,86.7976014718028,0.137425513352285,-0.0366868566924454,56.133816666666675,-51.75865
Thu Jan 16 01:15:48 2020 MT,56.23521666666667,-50.767500000000005,0267.0160,86.663357552067,0.161145627612908,-0.0593926890464387,56.133816666666675,-51.75865
Thu Jan 16 10:34:37 2020 MT,56.22631666666667,-50.8272,0267.0161,86.5378227678408,0.158712650095347,-0.0687149381240043,56.133816666666675,-51.75865
Thu Jan 16 19:50:13 2020 MT,56.21939999999999,-50.89084999999999,0267.0163,86.4084398623348,0.151945133979928,-0.0652127474519816,56.133816666666675,-51.75865
Thu Jan 16 19:54:44 2020 MT,56.21939999999999,-50.89084999999999,0267.0164,86.4058400553222,0.151945133979928,-0.0652127474519816,56.133816666666675,-51.75865
Fri Jan 17 05:13:14 2020 MT,56.222866666666675,-50.96093333333334,0267.0165,86.2813210704821,0.148247584366628,-0.0335848854226207,56.133816666666675,-51.75865
Fri Jan 17 14:32:59 2020 MT,56.21418333333333,-51.042449999999995,0267.0166,86.1560129882649,0.123190416445775,-0.037685743480187,56.133816666666675,-51.75865
