Time,Lat,Long,TTFF,Count,Commands,TxTries,ONT,I,V,Temperature,AirmarAirTemp,AirmarWindDirection,AirmarWindSpeed,AirmarWindGust,AirmarHeading,AirmarAirFix,MOSE_OnMin,Hs,Ts,T0,Hmax,Err,
2020-03-06 16:00:00,47.62083,-51.66867,26,49,1,1,1230,0.018,13.7,1,-2.3,0,15,15,39,0,10,2.8,6.75,5.25,3.8,0,
2020-03-06 16:30:00,47.63487,-51.65856,26,50,0,1,1230,0.088,14.1,1,-2.2,0,14,14,30,0,10,3.5,9.75,6.5,4.9,4,
2020-03-06 17:00:00,47.64924,-51.64854,26,51,0,1,1230,0.085,14,1,-2.1,0,11,11,35,0,10,3.2,8.5,6.5,4,3,
2020-03-06 17:30:00,47.66298,-51.63408,42,52,0,1,1240,0.085,13.7,1,-2,0,6,6,35,0,10,3.3,9,6,5.1,0,
2020-03-06 18:00:00,47.67534,-51.62319,26,53,0,2,1230,0.09,13.7,1,-2,0,9,9,32,0,10,3.5,8.75,6,4.9,0,
2020-03-06 19:00:00,47.66961,-51.61416,26,55,0,3,1230,0.088,13.8,1,-0.9,0,13,13,205,0,10,3,9,7.5,3.7,0,
2020-03-06 19:30:00,47.65053,-51.61491,26,56,0,1,1230,0.085,13.9,1,-0.8,280,10,13,208,1,10,2.8,8.5,6,4.4,0,
2020-03-06 20:30:00,47.64525,-51.60954,26,58,0,3,1230,0.092,13.6,1,-1.5,275,10,13,194,1,10,3,7.25,5.75,4.5,0,
2020-03-06 21:00:00,47.62806,-51.6066,26,59,1,1,1230,0.096,13.3,1,-1.9,275,10,12,187,1,10,3.2,8.75,7.25,6.1,1,
2020-03-06 21:30:00,47.60925,-51.6036,26,0,0,1,1230,0.018,13.3,1,-2.2,0,8,8,189,0,10,3.1,7.25,6.5,3.9,0,
2020-03-06 22:00:00,47.59119,-51.59571,26,1,0,1,1230,0.018,13.3,1,-2.2,260,11,15,191,1,10,2.9,9.75,7.5,4.4,0,
2020-03-06 22:30:00,47.57481,-51.58815,26,2,0,1,1230,0.018,13.3,0,-2.3,0,11,11,206,0,10,3.1,8.75,6.25,4.7,0,
2020-03-06 23:00:00,47.56032,-51.58704,26,3,0,1,1230,0.018,13.2,0,-2.3,270,8,9,56,1,10,2.8,7.5,5.75,3.7,0,
2020-03-06 23:30:00,47.57382,-51.58356,42,4,0,2,1240,0.018,13.2,1,-2.4,0,11,11,196,0,10,2.4,8.5,5.75,4.3,0,
2020-03-07 00:00:00,47.55747,-51.57834,26,5,0,1,1230,0.018,13.2,0,-2.5,0,12,12,186,0,10,3.6,7.75,6,4.4,1,
2020-03-07 00:30:00,47.54118,-51.57321,26,6,0,1,1230,0.018,13.2,0,-2.9,0,11,11,200,0,10,3.2,9,6.5,4.4,0,
2020-03-07 01:00:00,47.52486,-51.57012,26,7,0,1,1230,0.018,13.2,0,-3.1,0,12,12,32,0,10,3,7,5.5,4.7,0,
2020-03-07 01:30:00,47.53995,-51.5667,26,8,0,1,1230,0.018,13.2,0,-3.2,0,10,10,35,0,10,3.1,9.75,6.75,3.7,0,
2020-03-07 02:00:00,47.55423,-51.55767,42,9,0,1,1240,0.018,13.2,0,-3.5,0,7,7,48,0,10,2.9,8.25,6.75,3.2,0,
2020-03-07 02:30:00,47.56767,-51.54552,26,10,0,1,1230,0.018,13.2,0,-3.8,0,8,8,36,0,10,3.3,7.25,7,4.1,0,
2020-03-07 03:00:00,47.58009,-51.5337,26,11,0,1,1230,0.018,13.2,0,-4,0,7,7,48,0,10,2.8,7.75,5.75,4.4,0,
2020-03-07 03:30:00,47.59134,-51.52149,26,12,0,1,1230,0.018,13.2,0,-4,0,7,7,44,0,10,3.2,8,6,4.1,0,
2020-03-07 04:00:00,47.60367,-51.50907,26,13,0,1,1230,0.018,13.2,0,-4.1,0,9,9,53,0,10,2.9,8.5,6.5,3.8,0,
