time,lon,lat
20160918_165709,-54.5535,54.3026
20160918_170441,-54.5517,54.3033
20160918_173054,-54.5484,54.3036
20160918_174628,-54.5454,54.3046
20160918_180356,-54.5427,54.3059
20160918_181953,-54.5406,54.307
20160918_183707,-54.539,54.3083
20160918_185217,-54.5377,54.3098
20160918_190917,-54.5369,54.3112
20160918_192516,-54.5361,54.313
20160918_194325,-54.5358,54.3146
20160918_195842,-54.5354,54.3162
20160918_201538,-54.535,54.3182
20160918_203054,-54.5342,54.32
20160918_204826,-54.5338,54.3217
20160918_210425,-54.533,54.3237
20160918_212221,-54.5323,54.3256
20160918_213824,-54.5312,54.3274
20160918_215600,-54.5297,54.3292
20160918_221156,-54.5282,54.3306
20160918_222837,-54.5261,54.3319
20160918_224411,-54.5237,54.3332
20160918_225638,-54.523,54.3339
20160918_230500,-54.5216,54.3344
20160918_234642,-54.5238,54.335
20160919_000310,-54.5237,54.338
20160919_002032,-54.5232,54.3409
20160919_003602,-54.522,54.3436
20160919_005358,-54.5207,54.3461
20160919_011010,-54.5192,54.3487
20160919_012753,-54.5171,54.3511
20160919_014403,-54.5153,54.3535
20160919_020215,-54.5125,54.3556
20160919_021842,-54.5092,54.3574
20160919_023619,-54.5066,54.3597
20160919_025235,-54.505,54.3619
20160919_031024,-54.5032,54.3644
20160919_032654,-54.5015,54.3666
20160919_034546,-54.4996,54.3685
20160919_040255,-54.498,54.3703
20160919_042109,-54.4965,54.3722
20160919_043728,-54.4952,54.3742
20160919_045534,-54.4939,54.3763
20160919_051259,-54.493,54.3781
20160919_052759,-54.4924,54.3795
20160919_053845,-54.4919,54.3811
20160919_060028,-54.4916,54.3827
20160919_061727,-54.4915,54.3847
20160919_063650,-54.4917,54.3872
20160919_065405,-54.4925,54.3894
20160919_071223,-54.494,54.3911
20160919_072923,-54.4947,54.3939
20160919_074856,-54.4958,54.3967
20160919_080544,-54.4973,54.3992
20160919_082523,-54.499,54.4019
20160919_084306,-54.5013,54.4047
20160919_090306,-54.504,54.4074
20160919_092037,-54.5055,54.4105
20160919_093814,-54.5071,54.4136
20160919_095444,-54.5084,54.4168
20160919_101342,-54.5098,54.4199
20160919_103056,-54.5106,54.4231
20160919_105046,-54.5114,54.4266
20160919_110823,-54.5115,54.4297
20160919_112533,-54.5117,54.4326
20160919_114036,-54.5116,54.4352
20160919_121629,-54.5133,54.437
20160919_123437,-54.5105,54.4396
20160919_125447,-54.5076,54.4422
20160919_131221,-54.5039,54.4445
20160919_133050,-54.5,54.4463
20160919_134829,-54.4955,54.448
20160919_140821,-54.4905,54.4499
20160919_142607,-54.486,54.4516
20160919_144450,-54.4811,54.4528
20160919_150110,-54.4761,54.4539
20160919_151924,-54.4706,54.4551
20160919_153703,-54.4652,54.4563
20160919_155602,-54.4597,54.4571
20160919_161338,-54.4544,54.4578
20160919_163228,-54.4495,54.4583
20160919_164932,-54.4449,54.4587
20160919_170817,-54.4408,54.4592
20160919_172526,-54.4369,54.4598
20160919_174346,-54.4329,54.4606
20160919_180124,-54.4295,54.4612
20160919_183453,-54.4262,54.4594
20160919_200942,-54.4172,54.4626
20160919_204148,-54.4166,54.461
20160920_024700,-54.3894,54.4806
20160920_031658,-54.384,54.4807
20160920_032934,-54.3808,54.4815
20160920_034330,-54.377,54.4825
20160920_035613,-54.3731,54.4833
20160920_040445,-54.3693,54.4841
20160920_040707,-54.3693,54.484
20160920_041122,-54.3689,54.4838
20160920_041508,-54.3679,54.4839
20160920_042018,-54.3664,54.484
20160920_042301,-54.3655,54.4841
20160920_043845,-54.3617,54.4848
20160920_045909,-54.3567,54.4856
20160920_051347,-54.3534,54.4859
20160920_052236,-54.3507,54.4863
20160920_053231,-54.3481,54.4868
20160920_054101,-54.3459,54.4869
20160920_055020,-54.3434,54.4871
20160920_055849,-54.3412,54.4872
20160920_061036,-54.3385,54.4875
20160920_062308,-54.3359,54.4879
20160920_063447,-54.3338,54.4882
20160920_064324,-54.332,54.4884
20160920_065031,-54.3306,54.4884
20160920_065319,-54.33,54.4886
20160920_070346,-54.3281,54.489
20160920_071709,-54.3265,54.4896
20160920_072523,-54.3254,54.4899
20160920_072749,-54.3253,54.4901
20160920_073156,-54.325,54.4903
20160920_073510,-54.3248,54.4904
20160920_074013,-54.3247,54.4906
20160920_074238,-54.3243,54.4907
20160920_075012,-54.3232,54.491
20160920_075848,-54.3225,54.4915
20160920_080534,-54.3222,54.4918
20160920_080853,-54.3223,54.492
20160920_081227,-54.3224,54.4921
20160920_081555,-54.3224,54.4923
20160920_082107,-54.3223,54.4927
20160920_082443,-54.3224,54.4928
20160920_083124,-54.322,54.4929
20160920_083505,-54.322,54.4929
20160920_084004,-54.322,54.4931
